candle_begin_time,symbol,open,close
2021-04-01,MATIC-USDT,0.36099,0.82176
2021-04-01,TRX-USDT,0.09327,0.13243
2021-04-01,XRP-USDT,0.5709,1.6019
2021-05-01,ADA-USDT,1.35455,1.5754
2021-05-01,MATIC-USDT,0.82175,1.8593
2021-05-01,TRX-USDT,0.13246,0.07189
2021-05-31,MATIC-USDT,1.8596,1.1726
2021-05-31,TRX-USDT,0.07188,0.0679
2021-05-31,XRP-USDT,0.9048,0.7065
2021-06-30,MATIC-USDT,1.1726,1.0286
2021-06-30,TRX-USDT,0.06792,0.06187
2021-06-30,XRP-USDT,0.7064,0.7492
2021-07-30,XRP-USDT,0.7491,1.1471
2021-07-30,TRX-USDT,0.06186,0.08837
2021-07-30,MATIC-USDT,1.0284,1.4608
2021-08-29,MATIC-USDT,1.4609,1.0839
2021-08-29,TRX-USDT,0.08839,0.08589
2021-08-29,XRP-USDT,1.1472,0.9208
2021-09-28,MATIC-USDT,1.0839,1.7571
2021-09-28,TRX-USDT,0.08587,0.09061
2021-09-28,XRP-USDT,0.9208,0.9951
2021-10-28,MATIC-USDT,1.7571,1.6399
2021-10-28,TRX-USDT,0.09062,0.09223
2021-10-28,XRP-USDT,0.9955,0.9392
2021-11-27,MATIC-USDT,1.6397,2.8765
2021-11-27,TRX-USDT,0.09223,0.08144
2021-11-27,XRP-USDT,0.9392,0.9201
2021-12-27,XRP-USDT,0.92,0.6175
2021-12-27,ADA-USDT,1.4548,1.0415
2021-12-27,TRX-USDT,0.08145,0.05583
2022-01-26,ADA-USDT,1.0414,0.8523
2022-01-26,TRX-USDT,0.05584,0.06101
2022-01-26,XRP-USDT,0.6175,0.6958
2022-02-25,ADA-USDT,0.8523,1.1515
2022-02-25,TRX-USDT,0.06101,0.06629
2022-02-25,XRP-USDT,0.6958,0.8327
2022-03-27,ADA-USDT,1.1513,0.897
2022-03-27,TRX-USDT,0.06629,0.06528
2022-03-27,XRP-USDT,0.8327,0.6926
2022-04-26,XRP-USDT,0.6927,0.4059
2022-04-26,TRX-USDT,0.06528,0.08467
2022-04-26,ADA-USDT,0.8971,0.5142
2022-05-26,ADA-USDT,0.5141,0.498
2022-05-26,TRX-USDT,0.08467,0.06578
2022-05-26,XRP-USDT,0.4058,0.3668
2022-06-25,MATIC-USDT,0.6066,0.8789
2022-06-25,TRX-USDT,0.06577,0.06677
2022-06-25,XRP-USDT,0.3668,0.3584
2022-07-25,ADA-USDT,0.5119,0.4653
2022-07-25,TRX-USDT,0.06676,0.0663
2022-07-25,XRP-USDT,0.3584,0.3471
2022-08-24,TRX-USDT,0.0663,0.06015
2022-08-24,XRP-USDT,0.347,0.4857
2022-08-24,ADA-USDT,0.4654,0.4581
2022-09-23,XRP-USDT,0.4857,0.4651
2022-09-23,TRX-USDT,0.06015,0.06155
2022-09-23,ADA-USDT,0.458,0.3511
2022-10-23,ADA-USDT,0.351,0.3044
2022-10-23,TRX-USDT,0.06155,0.05151
2022-10-23,XRP-USDT,0.4651,0.3643
2022-11-22,ADA-USDT,0.3044,0.2533
2022-11-22,TRX-USDT,0.05151,0.05489
2022-11-22,XRP-USDT,0.3642,0.3445
2022-12-22,ADA-USDT,0.2532,0.365
2022-12-22,TRX-USDT,0.05487,0.06272
2022-12-22,XRP-USDT,0.3445,0.4125
2023-01-21,TRX-USDT,0.06272,0.07037
2023-01-21,XRP-USDT,0.4125,0.3859
2023-01-21,ADA-USDT,0.3649,0.3994
2023-02-20,ADA-USDT,0.3994,0.3694
2023-02-20,TRX-USDT,0.07037,0.06696
2023-02-20,XRP-USDT,0.3859,0.4694
2023-03-22,ADA-USDT,0.3694,0.4005
2023-03-22,TRX-USDT,0.06697,0.06538
2023-03-22,XRP-USDT,0.4695,0.4747
2023-04-21,ADA-USDT,0.4004,0.366
2023-04-21,TRX-USDT,0.06538,0.07253
2023-04-21,XRP-USDT,0.4746,0.4684
2023-05-21,XRP-USDT,0.4684,0.4934
2023-05-21,ADA-USDT,0.3661,0.2631
2023-05-21,TRX-USDT,0.07253,0.06996
2023-06-20,TRX-USDT,0.06995,0.08025
2023-06-20,XRP-USDT,0.4935,0.8193
2023-06-20,ADA-USDT,0.2631,0.3224
2023-07-20,ADA-USDT,0.3224,0.2636
2023-07-20,TRX-USDT,0.08025,0.07292
2023-07-20,XRP-USDT,0.8193,0.5058
2023-08-19,ADA-USDT,0.2636,0.2468
2023-08-19,TRX-USDT,0.07292,0.08327
2023-08-19,XRP-USDT,0.5057,0.4922
2023-09-18,ADA-USDT,0.2468,0.2462
2023-09-18,TRX-USDT,0.08328,0.08848
2023-09-18,XRP-USDT,0.4922,0.4908
2023-10-18,XRP-USDT,0.4909,0.612
2023-10-18,ADA-USDT,0.2462,0.3707
2023-10-18,TRX-USDT,0.08848,0.10233
2023-11-17,XRP-USDT,0.612,0.6207
2023-11-17,ADA-USDT,0.3707,0.6081
2023-11-17,TRX-USDT,0.10234,0.10273
2023-12-17,ADA-USDT,0.6081,0.5276
2023-12-17,TRX-USDT,0.10272,0.10867
2023-12-17,XRP-USDT,0.6206,0.5757
2024-01-16,ADA-USDT,0.5276,0.5774
2024-01-16,TRX-USDT,0.10867,0.12967
2024-01-16,XRP-USDT,0.5756,0.538
2024-02-15,TRX-USDT,0.12967,0.1264
2024-02-15,ADA-USDT,0.5774,0.7282
2024-02-15,XRP-USDT,0.538,0.6348
2024-03-16,TRX-USDT,0.1264,0.11968
2024-03-16,ADA-USDT,0.7281,0.6501
2024-03-16,XRP-USDT,0.6347,0.6161
